Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Well-Served, Well-Served (Scaled),Touristy,Touristy (Scaled),Congestion,Congestion (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled)
#,Island of _____,,,,,,,,,,,,,,,,,
1,Island of Sant'Alvise,Cannaregio,45.448163,12.327812,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252329757!6m8!1m7!1sdJvg2AR19Hza47yrX_hoGg!2m2!1d45.44793226890473!2d12.32835422767917!3f114.94904765231281!4f2.6240636575926715!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3800000,6.385004154,0,0,0.2662116041,9.619697708,0.005637612448,9.671045874,0,1.5,0.5,0.4078698956,4.371087768
2,Island of Madonna dell'Orto,Cannaregio,45.446664,12.332765,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252589256!6m8!1m7!1sCAoSF0NJSE0wb2dLRUlDQWdJREVuS2VuemdF!2m2!1d45.44670280704172!2d12.33275715965958!3f206.94920033535817!4f0.8639183132722934!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",9948333.333,0,0,0,0.03273809524,9.953231293,0.005569823435,9.675001356,0,3.65,1.216666667,0.245523764,2.63124573
3,Island of Sensa,Cannaregio,45.447174,12.327027,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252622919!6m8!1m7!1sCAoSFkNJSE0wb2dLRUlDQWdJREUxb0xFTFE.!2m2!1d45.44731014390221!2d12.32669702213889!3f18.087769310154968!4f-1.947219401961192!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4910000,5.232276378,0,0,0.3824130879,9.453695589,0.02059970746,8.798009117,0,0,0,0.1571338703,1.683982921
4,Island of Brazzo,Cannaregio,45.446091,12.330738,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252671362!6m8!1m7!1syECKDtffQw6VvN9vPJjDyA!2m2!1d45.44604801238261!2d12.33088335058224!3f34.875125026786414!4f-3.4350635350950256!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",7350000,2.698352257,0,0,0.3732394366,9.466800805,0.01598753792,9.067128752,0,0,0,0.1425409521,1.527592546
5,Island of Mori,Cannaregio,45.445401,12.332802,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252688269!6m8!1m7!1s6PvFKrz8vdKa1QL-3KssqQ!2m2!1d45.44540268990832!2d12.33279600190568!3f134.62615357916198!4f-1.6818678840937054!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4460000,5.699598449,0,0,1.874371859,7.322325915,0.04699435404,7.257884113,0,0,0,0.08175258546,0.876131654
6,Island of S. Maria di Valverde Maggiore,Cannaregio,45.444425,12.334682,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252714722!6m8!1m7!1sCAoSF0NJSE0wb2dLRUlDQWdJQzRzcUtSa1FF!2m2!1d45.44460993336455!2d12.33463008747226!3f186.6465937311139!4f5.605052549408001!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3911250,6.269471753,0,0,0.3372093023,9.518272425,0.007156092262,9.582442728,0,0,0,0.3376007427,3.618022543
7,Island of San Girolamo,Cannaregio,45.447185,12.324054,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252736029!6m8!1m7!1sDTyFgQy-WNBOwdZO2oXErg!2m2!1d45.44720338269435!2d12.32404075659145!3f193.62929925607315!4f-4.1086177437825455!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",0,10,1.5,0.03311258278,0.2050078247,9.707131679,0.01732790242,8.988918616,0,0,0,0.09220163415,0.9881127279
8,Island of Ormesini,Cannaregio,45.445912,12.328324,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252755824!6m8!1m7!1sFeD08SeclarNIhuZFsv0oA!2m2!1d45.44592247361193!2d12.32830186436878!3f188.19299484731016!4f-0.24146782072729422!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4067500,6.107207145,111,2.450331126,0.6952861953,9.006734007,0.04319663693,7.479480529,0,0,0,0.0745385206,0.7988194743
9,Island of Misericordia,Cannaregio,45.444534,12.332504,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252791386!6m8!1m7!1sqkOHcH7fVAE2495mD7ezVg!2m2!1d45.44457618117524!2d12.33248953260826!3f35.466369863950646!4f-3.267235260268208!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6076000,4.021392966,15,0.3311258278,1.284931507,8.164383562,0.02428533616,8.582953049,0,0,0,0.07096384479,0.7605101461
10,Island of Chiovere San Girolamo,Cannaregio,45.44619,12.323742,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252821646!6m8!1m7!1sPsBsgS_VM0P14FWxdtf8qw!2m2!1d45.44625579067005!2d12.32373263557618!3f109.48441133723159!4f-2.3852338889093403!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",2636500,7.593291332,0,0,0.1474926254,9.789296249,0.01279563172,9.253376161,0,0,0,0.1486301708,1.592849898
